WARNING 2019-10-18 20:23:04,453 basehttp 154 "GET /images/jichujiaochen.jpeg HTTP/1.1" 404 2080
WARNING 2019-10-18 20:23:04,455 basehttp 154 "GET /images/python_advanced.jpg HTTP/1.1" 404 2083
WARNING 2019-10-18 20:23:04,952 log 228 Not Found: /images/english.jpg
WARNING 2019-10-18 20:23:04,960 log 228 Not Found: /js/commons.js
WARNING 2019-10-18 20:23:04,964 basehttp 154 "GET /images/english.jpg HTTP/1.1" 404 2059
WARNING 2019-10-18 20:23:04,966 basehttp 154 "GET /js/commons.js HTTP/1.1" 404 2044
WARNING 2019-10-18 20:23:04,972 log 228 Not Found: /images/python_web.jpg
WARNING 2019-10-18 20:23:04,974 basehttp 154 "GET /images/python_web.jpg HTTP/1.1" 404 2068
WARNING 2019-10-18 20:23:04,987 log 228 Not Found: /js/index.js
WARNING 2019-10-18 20:23:04,989 basehttp 154 "GET /js/index.js HTTP/1.1" 404 2038
INFO 2019-10-18 20:23:07,409 basehttp 154 "GET /index/ HTTP/1.1" 200 16876
WARNING 2019-10-18 20:23:07,485 log 228 Not Found: /css/base/reset.css
WARNING 2019-10-18 20:23:07,518 log 228 Not Found: /images/youxi.png
WARNING 2019-10-18 20:23:07,527 log 228 Not Found: /css/base/common.css
WARNING 2019-10-18 20:23:07,530 basehttp 154 "GET /css/base/reset.css HTTP/1.1" 404 2059
WARNING 2019-10-18 20:23:07,533 log 228 Not Found: /images/ui.png
WARNING 2019-10-18 20:23:07,536 log 228 Not Found: /css/news/index.css
WARNING 2019-10-18 20:23:07,537 basehttp 154 "GET /images/youxi.png HTTP/1.1" 404 2053
WARNING 2019-10-18 20:23:07,545 log 228 Not Found: /css/base/side.css
WARNING 2019-10-18 20:23:07,549 basehttp 154 "GET /images/ui.png HTTP/1.1" 404 2044
WARNING 2019-10-18 20:23:07,549 basehttp 154 "GET /css/news/index.css HTTP/1.1" 404 2059
WARNING 2019-10-18 20:23:07,551 basehttp 154 "GET /css/base/common.css HTTP/1.1" 404 2062
WARNING 2019-10-18 20:23:07,553 basehttp 154 "GET /css/base/side.css HTTP/1.1" 404 2056
WARNING 2019-10-18 20:23:07,658 log 228 Not Found: /js/index.js
WARNING 2019-10-18 20:23:07,679 basehttp 154 "GET /js/index.js HTTP/1.1" 404 2038
WARNING 2019-10-18 20:23:07,680 log 228 Not Found: /images/zimeiti.png
